DEVID,DESCR_IF_MISC,ERROR_DESCRIPTION,DATE_OCCURRED,IDENTIFIED_BY,MODIFIED_BY,AFFECTED_TREATMENT,CORRECTED,WHYNOTCORRECTED,TX_INTENT,TX_METHOD,DEV_TYPE,ASSIGNED_USER,ASSIGNED_ROLE,ERROR_LEVEL_NAME,Sub_Desc,Att_Desc,Attribute,Stage1,Stage2,Approved_By1,Approved_By2,Role1,Role2,CUSTOM_CORRECTION,SELECTED_CORRECTION,DOC_TYPE,MOREINFO,GROUPID,ACTION,STATUS,ROLE_NAME1,ROLE_NAME2,ROLE_CODES,Attribute_Stage,SL,IS_POST,APPROVAL_ORDER,REG_VIOLATION,POSSIBLE_VIOLATION,CLIN_SIGNIFICANT,SIGNIFICANT_ERROR,MISADMIN,RECORDABLE,INTENT_METHOD_APPLICABLE,CORRECTION_ROLES
188,NA,The CPT code posted for reimbursement for image guidance was incorrect. G6001 (ultrasound) was submitted in place of 77014 (CT Guidance). DOS 03/25/21 - 04/13/21.,2021-03-25T09:26:15Z,agoudy,agoudy,0,3,NA,1,3,0,NA,NA,Billing,Codes,CPT code incorr./miss.,10945,A,K,agoudy,cmacke,K,A,NA,Improved procedure,NA,CPT code incorr./miss.,K,2,4,Financial Counselor,Radiation Services Director,AU,10945AK,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
188,NA,The CPT code posted for reimbursement for image guidance was incorrect. G6001 (ultrasound) was submitted in place of 77014 (CT Guidance). DOS 03/25/21 - 04/13/21.,2021-03-25T09:26:15Z,agoudy,agoudy,0,3,NA,1,3,0,NA,NA,Billing,Codes,CPT code incorr./miss.,10945,A,K,agoudy,cmacke,K,A,NA,Improved procedure,NA,CPT code incorr./miss.,A,2,4,Financial Counselor,Radiation Services Director,AU,10945AK,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
189,NA,The CPT code posted for reimbursement for image guidance was incorrect. G6001 (ultrasound) was submitted in place of 77014 (CT Guidance). DOS 03/23/21-04/12/21,2021-03-23T09:34:17Z,agoudy,agoudy,0,3,NA,1,3,0,NA,NA,Billing,Codes,CPT code incorr./miss.,10945,A,K,agoudy,cmacke,K,A,NA,Improved procedure,NA,CPT code incorr./miss.,K,2,4,Financial Counselor,Radiation Services Director,AU,10945AK,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
189,NA,The CPT code posted for reimbursement for image guidance was incorrect. G6001 (ultrasound) was submitted in place of 77014 (CT Guidance). DOS 03/23/21-04/12/21,2021-03-23T09:34:17Z,agoudy,agoudy,0,3,NA,1,3,0,NA,NA,Billing,Codes,CPT code incorr./miss.,10945,A,K,agoudy,cmacke,K,A,NA,Improved procedure,NA,CPT code incorr./miss.,A,2,4,Financial Counselor,Radiation Services Director,AU,10945AK,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
189,NA,The CPT code posted for reimbursement for image guidance was incorrect. G6001 (ultrasound) was submitted in place of 77014 (CT Guidance). DOS 03/23/21-04/12/21,2021-03-23T09:34:17Z,agoudy,agoudy,0,3,NA,1,3,0,NA,NA,Billing,Codes,CPT code incorr./miss.,10945,A,K,agoudy,cmacke,K,A,NA,Improved methods of communication,NA,CPT code incorr./miss.,K,2,4,Financial Counselor,Radiation Services Director,AU,10945AK,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
189,NA,The CPT code posted for reimbursement for image guidance was incorrect. G6001 (ultrasound) was submitted in place of 77014 (CT Guidance). DOS 03/23/21-04/12/21,2021-03-23T09:34:17Z,agoudy,agoudy,0,3,NA,1,3,0,NA,NA,Billing,Codes,CPT code incorr./miss.,10945,A,K,agoudy,cmacke,K,A,NA,Improved methods of communication,NA,CPT code incorr./miss.,A,2,4,Financial Counselor,Radiation Services Director,AU,10945AK,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
189,NA,The CPT code posted for reimbursement for image guidance was incorrect. G6001 (ultrasound) was submitted in place of 77014 (CT Guidance). DOS 03/23/21-04/12/21,2021-03-23T09:34:17Z,agoudy,agoudy,0,3,NA,1,3,0,NA,NA,Billing,Codes,CPT code incorr./miss.,10945,A,K,agoudy,cmacke,K,A,Posting of correct CPT code,Custom Attribute,NA,CPT code incorr./miss.,K,2,4,Financial Counselor,Radiation Services Director,AU,10945AK,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
189,NA,The CPT code posted for reimbursement for image guidance was incorrect. G6001 (ultrasound) was submitted in place of 77014 (CT Guidance). DOS 03/23/21-04/12/21,2021-03-23T09:34:17Z,agoudy,agoudy,0,3,NA,1,3,0,NA,NA,Billing,Codes,CPT code incorr./miss.,10945,A,K,agoudy,cmacke,K,A,Posting of correct CPT code,Custom Attribute,NA,CPT code incorr./miss.,A,2,4,Financial Counselor,Radiation Services Director,AU,10945AK,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
189,NA,The CPT code posted for reimbursement for image guidance was incorrect. G6001 (ultrasound) was submitted in place of 77014 (CT Guidance). DOS 03/23/21-04/12/21,2021-03-23T09:34:17Z,agoudy,agoudy,0,3,NA,1,3,0,NA,NA,Billing,Codes,CPT code incorr./miss.,10945,A,K,agoudy,cmacke,K,A,NA,Additional training,NA,CPT code incorr./miss.,K,2,4,Financial Counselor,Radiation Services Director,AU,10945AK,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
189,NA,The CPT code posted for reimbursement for image guidance was incorrect. G6001 (ultrasound) was submitted in place of 77014 (CT Guidance). DOS 03/23/21-04/12/21,2021-03-23T09:34:17Z,agoudy,agoudy,0,3,NA,1,3,0,NA,NA,Billing,Codes,CPT code incorr./miss.,10945,A,K,agoudy,cmacke,K,A,NA,Additional training,NA,CPT code incorr./miss.,A,2,4,Financial Counselor,Radiation Services Director,AU,10945AK,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
190,NA,The CPT code posted for reimbursement for image guidance was incorrect. G6001 (ultrasound) was submitted in place of 77014 (CT Guidance). DOS 3/23/21-04/12/21,2021-03-23T09:53:33Z,agoudy,agoudy,0,3,NA,1,3,0,NA,NA,Billing,Codes,CPT code incorr./miss.,10945,A,K,agoudy,cmacke,K,A,Posting of correct CPT code,Custom Attribute,NA,CPT code incorr./miss.,K,2,4,Financial Counselor,Radiation Services Director,AU,10945AK,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
190,NA,The CPT code posted for reimbursement for image guidance was incorrect. G6001 (ultrasound) was submitted in place of 77014 (CT Guidance). DOS 3/23/21-04/12/21,2021-03-23T09:53:33Z,agoudy,agoudy,0,3,NA,1,3,0,NA,NA,Billing,Codes,CPT code incorr./miss.,10945,A,K,agoudy,cmacke,K,A,Posting of correct CPT code,Custom Attribute,NA,CPT code incorr./miss.,A,2,4,Financial Counselor,Radiation Services Director,AU,10945AK,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
190,NA,The CPT code posted for reimbursement for image guidance was incorrect. G6001 (ultrasound) was submitted in place of 77014 (CT Guidance). DOS 3/23/21-04/12/21,2021-03-23T09:53:33Z,agoudy,agoudy,0,3,NA,1,3,0,NA,NA,Billing,Codes,CPT code incorr./miss.,10945,A,K,agoudy,cmacke,K,A,NA,Improved procedure,NA,CPT code incorr./miss.,K,2,4,Financial Counselor,Radiation Services Director,AU,10945AK,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
190,NA,The CPT code posted for reimbursement for image guidance was incorrect. G6001 (ultrasound) was submitted in place of 77014 (CT Guidance). DOS 3/23/21-04/12/21,2021-03-23T09:53:33Z,agoudy,agoudy,0,3,NA,1,3,0,NA,NA,Billing,Codes,CPT code incorr./miss.,10945,A,K,agoudy,cmacke,K,A,NA,Improved procedure,NA,CPT code incorr./miss.,A,2,4,Financial Counselor,Radiation Services Director,AU,10945AK,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
190,NA,The CPT code posted for reimbursement for image guidance was incorrect. G6001 (ultrasound) was submitted in place of 77014 (CT Guidance). DOS 3/23/21-04/12/21,2021-03-23T09:53:33Z,agoudy,agoudy,0,3,NA,1,3,0,NA,NA,Billing,Codes,CPT code incorr./miss.,10945,A,K,agoudy,cmacke,K,A,NA,Improved methods of communication,NA,CPT code incorr./miss.,K,2,4,Financial Counselor,Radiation Services Director,AU,10945AK,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
190,NA,The CPT code posted for reimbursement for image guidance was incorrect. G6001 (ultrasound) was submitted in place of 77014 (CT Guidance). DOS 3/23/21-04/12/21,2021-03-23T09:53:33Z,agoudy,agoudy,0,3,NA,1,3,0,NA,NA,Billing,Codes,CPT code incorr./miss.,10945,A,K,agoudy,cmacke,K,A,NA,Improved methods of communication,NA,CPT code incorr./miss.,A,2,4,Financial Counselor,Radiation Services Director,AU,10945AK,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
190,NA,The CPT code posted for reimbursement for image guidance was incorrect. G6001 (ultrasound) was submitted in place of 77014 (CT Guidance). DOS 3/23/21-04/12/21,2021-03-23T09:53:33Z,agoudy,agoudy,0,3,NA,1,3,0,NA,NA,Billing,Codes,CPT code incorr./miss.,10945,A,K,agoudy,cmacke,K,A,NA,Additional training,NA,CPT code incorr./miss.,K,2,4,Financial Counselor,Radiation Services Director,AU,10945AK,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
190,NA,The CPT code posted for reimbursement for image guidance was incorrect. G6001 (ultrasound) was submitted in place of 77014 (CT Guidance). DOS 3/23/21-04/12/21,2021-03-23T09:53:33Z,agoudy,agoudy,0,3,NA,1,3,0,NA,NA,Billing,Codes,CPT code incorr./miss.,10945,A,K,agoudy,cmacke,K,A,NA,Additional training,NA,CPT code incorr./miss.,A,2,4,Financial Counselor,Radiation Services Director,AU,10945AK,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
191,NA,The CPT code posted for reimbursement for image guidance was incorrect. G6001 (ultrasound) was submitted in place of 77014 (CT Guidance). DOS 4/6/21-4/30/21,2021-04-06T10:27:04Z,agoudy,agoudy,0,3,NA,1,3,0,NA,NA,Billing,Codes,CPT code incorr./miss.,10945,A,K,agoudy,cmacke,K,A,NA,Additional training,NA,CPT code incorr./miss.,K,2,4,Financial Counselor,Radiation Services Director,AU,10945AK,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
191,NA,The CPT code posted for reimbursement for image guidance was incorrect. G6001 (ultrasound) was submitted in place of 77014 (CT Guidance). DOS 4/6/21-4/30/21,2021-04-06T10:27:04Z,agoudy,agoudy,0,3,NA,1,3,0,NA,NA,Billing,Codes,CPT code incorr./miss.,10945,A,K,agoudy,cmacke,K,A,NA,Additional training,NA,CPT code incorr./miss.,A,2,4,Financial Counselor,Radiation Services Director,AU,10945AK,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
191,NA,The CPT code posted for reimbursement for image guidance was incorrect. G6001 (ultrasound) was submitted in place of 77014 (CT Guidance). DOS 4/6/21-4/30/21,2021-04-06T10:27:04Z,agoudy,agoudy,0,3,NA,1,3,0,NA,NA,Billing,Codes,CPT code incorr./miss.,10945,A,K,agoudy,cmacke,K,A,NA,Improved procedure,NA,CPT code incorr./miss.,K,2,4,Financial Counselor,Radiation Services Director,AU,10945AK,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
191,NA,The CPT code posted for reimbursement for image guidance was incorrect. G6001 (ultrasound) was submitted in place of 77014 (CT Guidance). DOS 4/6/21-4/30/21,2021-04-06T10:27:04Z,agoudy,agoudy,0,3,NA,1,3,0,NA,NA,Billing,Codes,CPT code incorr./miss.,10945,A,K,agoudy,cmacke,K,A,NA,Improved procedure,NA,CPT code incorr./miss.,A,2,4,Financial Counselor,Radiation Services Director,AU,10945AK,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
191,NA,The CPT code posted for reimbursement for image guidance was incorrect. G6001 (ultrasound) was submitted in place of 77014 (CT Guidance). DOS 4/6/21-4/30/21,2021-04-06T10:27:04Z,agoudy,agoudy,0,3,NA,1,3,0,NA,NA,Billing,Codes,CPT code incorr./miss.,10945,A,K,agoudy,cmacke,K,A,NA,Improved methods of communication,NA,CPT code incorr./miss.,K,2,4,Financial Counselor,Radiation Services Director,AU,10945AK,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
191,NA,The CPT code posted for reimbursement for image guidance was incorrect. G6001 (ultrasound) was submitted in place of 77014 (CT Guidance). DOS 4/6/21-4/30/21,2021-04-06T10:27:04Z,agoudy,agoudy,0,3,NA,1,3,0,NA,NA,Billing,Codes,CPT code incorr./miss.,10945,A,K,agoudy,cmacke,K,A,NA,Improved methods of communication,NA,CPT code incorr./miss.,A,2,4,Financial Counselor,Radiation Services Director,AU,10945AK,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
191,NA,The CPT code posted for reimbursement for image guidance was incorrect. G6001 (ultrasound) was submitted in place of 77014 (CT Guidance). DOS 4/6/21-4/30/21,2021-04-06T10:27:04Z,agoudy,agoudy,0,3,NA,1,3,0,NA,NA,Billing,Codes,CPT code incorr./miss.,10945,A,K,agoudy,cmacke,K,A,posting of correct CPT code,Custom Attribute,NA,CPT code incorr./miss.,K,2,4,Financial Counselor,Radiation Services Director,AU,10945AK,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
191,NA,The CPT code posted for reimbursement for image guidance was incorrect. G6001 (ultrasound) was submitted in place of 77014 (CT Guidance). DOS 4/6/21-4/30/21,2021-04-06T10:27:04Z,agoudy,agoudy,0,3,NA,1,3,0,NA,NA,Billing,Codes,CPT code incorr./miss.,10945,A,K,agoudy,cmacke,K,A,posting of correct CPT code,Custom Attribute,NA,CPT code incorr./miss.,A,2,4,Financial Counselor,Radiation Services Director,AU,10945AK,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
192,NA,The CPT code posted for reimbursement for image guidance was incorrect. G6001 (ultrasound) was submitted in place of 77014 (CT Guidance). DOS 2/18/21 - 4/13/21,2021-02-18T10:28:48Z,agoudy,agoudy,0,3,NA,1,3,0,NA,NA,Billing,Codes,CPT code incorr./miss.,10945,A,K,agoudy,cmacke,K,A,Posting of correct CPT code,Custom Attribute,NA,CPT code incorr./miss.,K,2,4,Financial Counselor,Radiation Services Director,AU,10945AK,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
192,NA,The CPT code posted for reimbursement for image guidance was incorrect. G6001 (ultrasound) was submitted in place of 77014 (CT Guidance). DOS 2/18/21 - 4/13/21,2021-02-18T10:28:48Z,agoudy,agoudy,0,3,NA,1,3,0,NA,NA,Billing,Codes,CPT code incorr./miss.,10945,A,K,agoudy,cmacke,K,A,Posting of correct CPT code,Custom Attribute,NA,CPT code incorr./miss.,A,2,4,Financial Counselor,Radiation Services Director,AU,10945AK,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
192,NA,The CPT code posted for reimbursement for image guidance was incorrect. G6001 (ultrasound) was submitted in place of 77014 (CT Guidance). DOS 2/18/21 - 4/13/21,2021-02-18T10:28:48Z,agoudy,agoudy,0,3,NA,1,3,0,NA,NA,Billing,Codes,CPT code incorr./miss.,10945,A,K,agoudy,cmacke,K,A,NA,Additional training,NA,CPT code incorr./miss.,K,2,4,Financial Counselor,Radiation Services Director,AU,10945AK,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
192,NA,The CPT code posted for reimbursement for image guidance was incorrect. G6001 (ultrasound) was submitted in place of 77014 (CT Guidance). DOS 2/18/21 - 4/13/21,2021-02-18T10:28:48Z,agoudy,agoudy,0,3,NA,1,3,0,NA,NA,Billing,Codes,CPT code incorr./miss.,10945,A,K,agoudy,cmacke,K,A,NA,Additional training,NA,CPT code incorr./miss.,A,2,4,Financial Counselor,Radiation Services Director,AU,10945AK,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
192,NA,The CPT code posted for reimbursement for image guidance was incorrect. G6001 (ultrasound) was submitted in place of 77014 (CT Guidance). DOS 2/18/21 - 4/13/21,2021-02-18T10:28:48Z,agoudy,agoudy,0,3,NA,1,3,0,NA,NA,Billing,Codes,CPT code incorr./miss.,10945,A,K,agoudy,cmacke,K,A,NA,Improved procedure,NA,CPT code incorr./miss.,K,2,4,Financial Counselor,Radiation Services Director,AU,10945AK,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
192,NA,The CPT code posted for reimbursement for image guidance was incorrect. G6001 (ultrasound) was submitted in place of 77014 (CT Guidance). DOS 2/18/21 - 4/13/21,2021-02-18T10:28:48Z,agoudy,agoudy,0,3,NA,1,3,0,NA,NA,Billing,Codes,CPT code incorr./miss.,10945,A,K,agoudy,cmacke,K,A,NA,Improved procedure,NA,CPT code incorr./miss.,A,2,4,Financial Counselor,Radiation Services Director,AU,10945AK,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
192,NA,The CPT code posted for reimbursement for image guidance was incorrect. G6001 (ultrasound) was submitted in place of 77014 (CT Guidance). DOS 2/18/21 - 4/13/21,2021-02-18T10:28:48Z,agoudy,agoudy,0,3,NA,1,3,0,NA,NA,Billing,Codes,CPT code incorr./miss.,10945,A,K,agoudy,cmacke,K,A,NA,Improved methods of communication,NA,CPT code incorr./miss.,K,2,4,Financial Counselor,Radiation Services Director,AU,10945AK,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
192,NA,The CPT code posted for reimbursement for image guidance was incorrect. G6001 (ultrasound) was submitted in place of 77014 (CT Guidance). DOS 2/18/21 - 4/13/21,2021-02-18T10:28:48Z,agoudy,agoudy,0,3,NA,1,3,0,NA,NA,Billing,Codes,CPT code incorr./miss.,10945,A,K,agoudy,cmacke,K,A,NA,Improved methods of communication,NA,CPT code incorr./miss.,A,2,4,Financial Counselor,Radiation Services Director,AU,10945AK,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
193,NA,The CPT code posted for reimbursement for image guidance was incorrect. G6001 (ultrasound) was submitted in place of 77014 (CT Guidance). DOS 02/02/2021 - 02/19/2021.,2021-02-02T10:30:56Z,agoudy,agoudy,0,3,NA,1,3,0,NA,NA,Billing,Codes,CPT code incorr./miss.,10945,A,K,agoudy,cmacke,K,A,Posting of correct CPT code,Custom Attribute,NA,CPT code incorr./miss.,K,2,4,Financial Counselor,Radiation Services Director,AU,10945AK,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
193,NA,The CPT code posted for reimbursement for image guidance was incorrect. G6001 (ultrasound) was submitted in place of 77014 (CT Guidance). DOS 02/02/2021 - 02/19/2021.,2021-02-02T10:30:56Z,agoudy,agoudy,0,3,NA,1,3,0,NA,NA,Billing,Codes,CPT code incorr./miss.,10945,A,K,agoudy,cmacke,K,A,Posting of correct CPT code,Custom Attribute,NA,CPT code incorr./miss.,A,2,4,Financial Counselor,Radiation Services Director,AU,10945AK,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
193,NA,The CPT code posted for reimbursement for image guidance was incorrect. G6001 (ultrasound) was submitted in place of 77014 (CT Guidance). DOS 02/02/2021 - 02/19/2021.,2021-02-02T10:30:56Z,agoudy,agoudy,0,3,NA,1,3,0,NA,NA,Billing,Codes,CPT code incorr./miss.,10945,A,K,agoudy,cmacke,K,A,NA,Improved methods of communication,NA,CPT code incorr./miss.,K,2,4,Financial Counselor,Radiation Services Director,AU,10945AK,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
193,NA,The CPT code posted for reimbursement for image guidance was incorrect. G6001 (ultrasound) was submitted in place of 77014 (CT Guidance). DOS 02/02/2021 - 02/19/2021.,2021-02-02T10:30:56Z,agoudy,agoudy,0,3,NA,1,3,0,NA,NA,Billing,Codes,CPT code incorr./miss.,10945,A,K,agoudy,cmacke,K,A,NA,Improved methods of communication,NA,CPT code incorr./miss.,A,2,4,Financial Counselor,Radiation Services Director,AU,10945AK,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
193,NA,The CPT code posted for reimbursement for image guidance was incorrect. G6001 (ultrasound) was submitted in place of 77014 (CT Guidance). DOS 02/02/2021 - 02/19/2021.,2021-02-02T10:30:56Z,agoudy,agoudy,0,3,NA,1,3,0,NA,NA,Billing,Codes,CPT code incorr./miss.,10945,A,K,agoudy,cmacke,K,A,NA,Improved procedure,NA,CPT code incorr./miss.,K,2,4,Financial Counselor,Radiation Services Director,AU,10945AK,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
193,NA,The CPT code posted for reimbursement for image guidance was incorrect. G6001 (ultrasound) was submitted in place of 77014 (CT Guidance). DOS 02/02/2021 - 02/19/2021.,2021-02-02T10:30:56Z,agoudy,agoudy,0,3,NA,1,3,0,NA,NA,Billing,Codes,CPT code incorr./miss.,10945,A,K,agoudy,cmacke,K,A,NA,Improved procedure,NA,CPT code incorr./miss.,A,2,4,Financial Counselor,Radiation Services Director,AU,10945AK,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
193,NA,The CPT code posted for reimbursement for image guidance was incorrect. G6001 (ultrasound) was submitted in place of 77014 (CT Guidance). DOS 02/02/2021 - 02/19/2021.,2021-02-02T10:30:56Z,agoudy,agoudy,0,3,NA,1,3,0,NA,NA,Billing,Codes,CPT code incorr./miss.,10945,A,K,agoudy,cmacke,K,A,NA,Additional training,NA,CPT code incorr./miss.,K,2,4,Financial Counselor,Radiation Services Director,AU,10945AK,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
193,NA,The CPT code posted for reimbursement for image guidance was incorrect. G6001 (ultrasound) was submitted in place of 77014 (CT Guidance). DOS 02/02/2021 - 02/19/2021.,2021-02-02T10:30:56Z,agoudy,agoudy,0,3,NA,1,3,0,NA,NA,Billing,Codes,CPT code incorr./miss.,10945,A,K,agoudy,cmacke,K,A,NA,Additional training,NA,CPT code incorr./miss.,A,2,4,Financial Counselor,Radiation Services Director,AU,10945AK,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
194,NA,The CPT code posted for reimbursement for image guidance was incorrect. G6001 (ultrasound) was submitted in place of 77014 (CT Guidance). DOS 02/23/2021 - 04/13/2021,2021-02-23T10:32:14Z,agoudy,agoudy,0,3,NA,1,3,0,NA,NA,Billing,Codes,CPT code incorr./miss.,10945,A,K,agoudy,cmacke,K,A,Posting of correct CPT code,Custom Attribute,NA,CPT code incorr./miss.,K,2,4,Financial Counselor,Radiation Services Director,AU,10945AK,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
194,NA,The CPT code posted for reimbursement for image guidance was incorrect. G6001 (ultrasound) was submitted in place of 77014 (CT Guidance). DOS 02/23/2021 - 04/13/2021,2021-02-23T10:32:14Z,agoudy,agoudy,0,3,NA,1,3,0,NA,NA,Billing,Codes,CPT code incorr./miss.,10945,A,K,agoudy,cmacke,K,A,Posting of correct CPT code,Custom Attribute,NA,CPT code incorr./miss.,A,2,4,Financial Counselor,Radiation Services Director,AU,10945AK,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
194,NA,The CPT code posted for reimbursement for image guidance was incorrect. G6001 (ultrasound) was submitted in place of 77014 (CT Guidance). DOS 02/23/2021 - 04/13/2021,2021-02-23T10:32:14Z,agoudy,agoudy,0,3,NA,1,3,0,NA,NA,Billing,Codes,CPT code incorr./miss.,10945,A,K,agoudy,cmacke,K,A,NA,Additional training,NA,CPT code incorr./miss.,K,2,4,Financial Counselor,Radiation Services Director,AU,10945AK,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
194,NA,The CPT code posted for reimbursement for image guidance was incorrect. G6001 (ultrasound) was submitted in place of 77014 (CT Guidance). DOS 02/23/2021 - 04/13/2021,2021-02-23T10:32:14Z,agoudy,agoudy,0,3,NA,1,3,0,NA,NA,Billing,Codes,CPT code incorr./miss.,10945,A,K,agoudy,cmacke,K,A,NA,Additional training,NA,CPT code incorr./miss.,A,2,4,Financial Counselor,Radiation Services Director,AU,10945AK,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
194,NA,The CPT code posted for reimbursement for image guidance was incorrect. G6001 (ultrasound) was submitted in place of 77014 (CT Guidance). DOS 02/23/2021 - 04/13/2021,2021-02-23T10:32:14Z,agoudy,agoudy,0,3,NA,1,3,0,NA,NA,Billing,Codes,CPT code incorr./miss.,10945,A,K,agoudy,cmacke,K,A,NA,Improved methods of communication,NA,CPT code incorr./miss.,K,2,4,Financial Counselor,Radiation Services Director,AU,10945AK,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
194,NA,The CPT code posted for reimbursement for image guidance was incorrect. G6001 (ultrasound) was submitted in place of 77014 (CT Guidance). DOS 02/23/2021 - 04/13/2021,2021-02-23T10:32:14Z,agoudy,agoudy,0,3,NA,1,3,0,NA,NA,Billing,Codes,CPT code incorr./miss.,10945,A,K,agoudy,cmacke,K,A,NA,Improved methods of communication,NA,CPT code incorr./miss.,A,2,4,Financial Counselor,Radiation Services Director,AU,10945AK,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
195,NA,The CPT code posted for reimbursement for image guidance was incorrect. G6001 (ultrasound) was submitted in place of 77014 (CT Guidance). DOS 04/22/2021 - 04/30/2021,2021-04-22T10:35:04Z,agoudy,agoudy,0,3,NA,1,3,0,NA,NA,Billing,Codes,CPT code incorr./miss.,10945,A,K,agoudy,cmacke,K,A,Posting of correct CPT code,Custom Attribute,NA,CPT code incorr./miss.,K,2,4,Financial Counselor,Radiation Services Director,AU,10945AK,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
195,NA,The CPT code posted for reimbursement for image guidance was incorrect. G6001 (ultrasound) was submitted in place of 77014 (CT Guidance). DOS 04/22/2021 - 04/30/2021,2021-04-22T10:35:04Z,agoudy,agoudy,0,3,NA,1,3,0,NA,NA,Billing,Codes,CPT code incorr./miss.,10945,A,K,agoudy,cmacke,K,A,Posting of correct CPT code,Custom Attribute,NA,CPT code incorr./miss.,A,2,4,Financial Counselor,Radiation Services Director,AU,10945AK,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
195,NA,The CPT code posted for reimbursement for image guidance was incorrect. G6001 (ultrasound) was submitted in place of 77014 (CT Guidance). DOS 04/22/2021 - 04/30/2021,2021-04-22T10:35:04Z,agoudy,agoudy,0,3,NA,1,3,0,NA,NA,Billing,Codes,CPT code incorr./miss.,10945,A,K,agoudy,cmacke,K,A,NA,Additional training,NA,CPT code incorr./miss.,K,2,4,Financial Counselor,Radiation Services Director,AU,10945AK,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
195,NA,The CPT code posted for reimbursement for image guidance was incorrect. G6001 (ultrasound) was submitted in place of 77014 (CT Guidance). DOS 04/22/2021 - 04/30/2021,2021-04-22T10:35:04Z,agoudy,agoudy,0,3,NA,1,3,0,NA,NA,Billing,Codes,CPT code incorr./miss.,10945,A,K,agoudy,cmacke,K,A,NA,Additional training,NA,CPT code incorr./miss.,A,2,4,Financial Counselor,Radiation Services Director,AU,10945AK,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
195,NA,The CPT code posted for reimbursement for image guidance was incorrect. G6001 (ultrasound) was submitted in place of 77014 (CT Guidance). DOS 04/22/2021 - 04/30/2021,2021-04-22T10:35:04Z,agoudy,agoudy,0,3,NA,1,3,0,NA,NA,Billing,Codes,CPT code incorr./miss.,10945,A,K,agoudy,cmacke,K,A,NA,Improved methods of communication,NA,CPT code incorr./miss.,K,2,4,Financial Counselor,Radiation Services Director,AU,10945AK,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
